,run,step,small triangle,middle triangle,big triangle,square,parallelogram
43,2,9,"{(9.0, 270.0), (22.0, 225.0)}","{(6.0, 225.0)}","{(12.0, 180.0)}",set(),"{(16.0, 45.0)}"
44,2,10,"{(9.0, 270.0), (22.0, 315.0)}","{(6.0, 225.0)}","{(12.0, 180.0)}",set(),"{(16.0, 45.0)}"
45,2,11,"{(9.0, 270.0), (22.0, 315.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}",set(),"{(16.0, 45.0)}"
46,2,12,"{(9.0, 270.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}",set(),"{(16.0, 45.0)}"
47,2,13,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}",set(),"{(16.0, 45.0)}"
48,2,14,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
49,2,15,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
50,2,16,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
51,2,17,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
52,3,1,set(),set(),set(),set(),"{(16.0, 45.0)}"
53,3,2,set(),set(),set(),"{(22.0, 0.0)}","{(16.0, 45.0)}"
54,3,3,set(),set(),"{(12.0, 180.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
55,3,4,set(),"{(6.0, 225.0)}","{(12.0, 180.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
56,3,5,"{(18.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
57,3,6,"{(9.0, 270.0)}","{(6.0, 225.0)}","{(12.0, 180.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
58,3,7,"{(9.0, 270.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
59,3,8,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
60,3,9,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
61,3,10,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
62,3,11,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
63,3,12,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
64,3,13,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
65,3,14,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
66,3,15,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
67,3,16,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
68,3,17,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
69,4,1,set(),set(),"{(13.0, 0.0)}",set(),set()
70,4,2,set(),set(),"{(13.0, 0.0)}","{(22.0, 0.0)}",set()
71,4,3,set(),"{(6.0, 225.0)}","{(13.0, 0.0)}","{(22.0, 0.0)}",set()
72,4,4,set(),"{(6.0, 225.0)}","{(13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
