,run,step,small triangle,middle triangle,big triangle,square,parallelogram
25,1,9,"{(1.0, 0.0), (5.0, 90.0)}",set(),"{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
26,1,10,"{(1.0, 0.0), (5.0, 90.0)}","{(8.0, 135.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
27,1,11,"{(1.0, 0.0), (5.0, 90.0)}","{(8.0, 135.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
28,1,12,"{(1.0, 0.0), (5.0, 90.0)}","{(8.0, 135.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
29,1,13,"{(1.0, 0.0), (5.0, 90.0)}","{(8.0, 135.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
30,1,14,"{(1.0, 0.0), (5.0, 90.0)}","{(8.0, 135.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
31,1,15,"{(1.0, 0.0), (5.0, 90.0)}","{(8.0, 135.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
32,1,16,"{(1.0, 0.0), (5.0, 90.0)}","{(8.0, 135.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
33,1,17,"{(1.0, 0.0), (5.0, 90.0)}","{(8.0, 135.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
34,2,1,set(),"{(6.0, 225.0)}",set(),set(),set()
35,2,2,set(),"{(6.0, 225.0)}",set(),set(),"{(16.0, 45.0)}"
36,2,3,set(),"{(6.0, 225.0)}","{(12.0, 180.0)}",set(),"{(16.0, 45.0)}"
37,2,4,set(),"{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}",set(),"{(16.0, 45.0)}"
38,2,5,"{(22.0, 225.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}",set(),"{(16.0, 45.0)}"
39,2,6,"{(22.0, 45.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}",set(),"{(16.0, 45.0)}"
40,2,7,set(),"{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
41,2,8,"{(8.0, 135.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
42,2,9,"{(9.0, 270.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
43,2,10,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
44,2,11,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
45,2,12,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
46,2,13,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
47,2,14,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
48,2,15,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
49,2,16,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
50,2,17,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
51,3,1,"{(22.0, 45.0)}",set(),set(),set(),set()
52,3,2,"{(22.0, 45.0)}",set(),"{(13.0, 0.0)}",set(),set()
53,3,3,"{(22.0, 45.0)}",set(),"{(2.0, 0.0), (13.0, 0.0)}",set(),set()
54,3,4,"{(22.0, 45.0)}",set(),"{(12.0, 180.0), (13.0, 0.0)}",set(),set()
55,3,5,"{(22.0, 45.0), (3.0, 0.0)}",set(),"{(13.0, 0.0)}",set(),set()
56,3,6,"{(22.0, 45.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(13.0, 0.0)}",set(),set()
57,3,7,"{(22.0, 45.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(13.0, 0.0)}",set(),"{(16.0, 45.0)}"
58,3,8,"{(22.0, 45.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}",set(),"{(16.0, 45.0)}"
59,3,9,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(13.0, 0.0)}",set(),"{(16.0, 45.0)}"
60,3,10,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
61,3,11,"{(9.0, 270.0), (8.0, 225.0)}","{(6.0, 225.0)}","{(13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
62,3,12,"{(9.0, 270.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
63,3,13,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
64,3,14,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
65,3,15,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
66,3,16,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
67,3,17,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
68,4,1,"{(22.0, 45.0)}",set(),set(),set(),set()
69,4,2,"{(22.0, 45.0)}","{(6.0, 225.0)}",set(),set(),set()
70,4,3,"{(22.0, 45.0)}","{(6.0, 225.0)}",set(),set(),"{(13.0, 90.0)}"
71,4,4,"{(22.0, 45.0)}","{(6.0, 225.0)}","{(12.0, 180.0)}",set(),"{(13.0, 90.0)}"
72,4,5,"{(8.0, 135.0), (22.0, 45.0)}","{(6.0, 225.0)}",set(),set(),"{(13.0, 90.0)}"
73,4,6,"{(8.0, 135.0), (22.0, 45.0)}","{(6.0, 225.0)}",set(),set(),"{(13.0, 90.0)}"
74,4,7,"{(22.0, 45.0), (3.0, 0.0)}","{(6.0, 225.0)}",set(),set(),"{(13.0, 90.0)}"
75,4,8,"{(22.0, 45.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(13.0, 0.0)}",set(),set()
76,4,9,"{(22.0, 45.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(13.0, 0.0)}",set(),"{(16.0, 45.0)}"
77,4,10,"{(22.0, 45.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}",set(),"{(16.0, 45.0)}"
78,4,11,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(13.0, 0.0)}",set(),"{(16.0, 45.0)}"
79,4,12,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
80,4,13,"{(9.0, 270.0), (13.0, 180.0)}","{(6.0, 225.0)}","{(13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
81,4,14,"{(9.0, 270.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
82,4,15,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
83,4,16,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
84,4,17,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
85,5,1,"{(22.0, 45.0)}",set(),set(),set(),set()
86,5,2,"{(22.0, 45.0)}","{(11.0, 0.0)}",set(),set(),set()
87,5,3,"{(22.0, 45.0)}","{(11.0, 0.0)}",set(),set(),"{(13.0, 90.0)}"
88,5,4,"{(22.0, 45.0)}","{(11.0, 0.0)}","{(12.0, 180.0)}",set(),"{(13.0, 90.0)}"
89,5,5,"{(5.0, 90.0), (22.0, 45.0)}","{(11.0, 0.0)}",set(),set(),"{(13.0, 90.0)}"
90,5,6,"{(5.0, 90.0), (22.0, 45.0)}","{(11.0, 0.0)}","{(2.0, 0.0)}",set(),"{(13.0, 90.0)}"
91,5,7,"{(5.0, 90.0), (22.0, 45.0)}","{(11.0, 0.0)}","{(2.0, 0.0)}",set(),set()
92,5,8,"{(5.0, 90.0), (22.0, 45.0)}","{(11.0, 0.0)}","{(2.0, 0.0)}",set(),"{(13.0, 90.0)}"
93,5,9,"{(9.0, 270.0), (5.0, 90.0)}","{(11.0, 0.0)}","{(2.0, 0.0)}",set(),set()
94,5,10,"{(5.0, 90.0), (11.0, 180.0)}","{(11.0, 0.0)}","{(2.0, 0.0)}",set(),set()
