,run,step,small triangle,middle triangle,big triangle,square,parallelogram
0,0,1,set(),set(),"{(13.0, 0.0)}",set(),set()
1,0,2,set(),set(),"{(13.0, 0.0)}","{(22.0, 0.0)}",set()
2,0,3,"{(10.0, 135.0)}",set(),"{(13.0, 0.0)}","{(22.0, 0.0)}",set()
3,0,4,"{(10.0, 135.0)}","{(8.0, 45.0)}","{(13.0, 0.0)}","{(22.0, 0.0)}",set()
4,0,5,"{(10.0, 135.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}",set()
5,0,6,"{(1.0, 0.0), (10.0, 135.0)}","{(8.0, 45.0)}","{(13.0, 0.0)}","{(22.0, 0.0)}",set()
6,0,7,"{(10.0, 135.0), (3.0, 0.0)}","{(8.0, 45.0)}","{(13.0, 0.0)}","{(22.0, 0.0)}",set()
7,0,8,"{(12.0, 315.0), (10.0, 135.0)}","{(8.0, 45.0)}","{(13.0, 0.0)}","{(22.0, 0.0)}",set()
8,0,9,"{(12.0, 315.0), (10.0, 135.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}",set()
9,0,10,"{(12.0, 315.0), (10.0, 135.0)}","{(8.0, 45.0)}","{(13.0, 0.0)}","{(22.0, 0.0)}",set()
10,0,11,"{(10.0, 135.0), (3.0, 0.0)}","{(8.0, 45.0)}","{(13.0, 0.0)}","{(22.0, 0.0)}",set()
11,0,12,"{(1.0, 0.0), (10.0, 135.0)}","{(8.0, 45.0)}","{(13.0, 0.0)}","{(22.0, 0.0)}",set()
12,0,13,"{(10.0, 135.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}",set()
13,0,14,"{(10.0, 135.0)}","{(8.0, 45.0)}","{(13.0, 0.0)}","{(22.0, 0.0)}",set()
14,0,15,"{(10.0, 135.0), (3.0, 0.0)}","{(8.0, 45.0)}","{(13.0, 0.0)}","{(22.0, 0.0)}",set()
15,0,16,"{(12.0, 315.0), (10.0, 135.0)}","{(8.0, 45.0)}","{(13.0, 0.0)}","{(22.0, 0.0)}",set()
16,0,17,"{(12.0, 315.0), (10.0, 135.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}",set()
17,0,18,"{(10.0, 135.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}",set()
18,1,1,set(),set(),set(),set(),"{(11.0, 45.0)}"
19,1,2,set(),set(),"{(8.0, 135.0)}",set(),"{(11.0, 45.0)}"
20,1,3,"{(18.0, 0.0)}",set(),"{(8.0, 135.0)}",set(),"{(11.0, 45.0)}"
21,1,4,"{(18.0, 0.0)}",set(),"{(8.0, 135.0)}","{(17.0, 0.0)}","{(11.0, 45.0)}"
22,1,5,"{(18.0, 0.0)}","{(6.0, 225.0)}",set(),"{(17.0, 0.0)}","{(11.0, 45.0)}"
23,1,6,"{(9.0, 45.0), (18.0, 0.0)}","{(6.0, 225.0)}",set(),"{(17.0, 0.0)}","{(11.0, 45.0)}"
