,run,step,small triangle,middle triangle,big triangle,square,parallelogram
0,0,1,"{(23.0, 0.0)}",set(),set(),set(),set()
1,0,2,"{(23.0, 0.0)}",set(),"{(13.0, 270.0)}",set(),set()
2,0,3,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(13.0, 270.0)}",set(),set()
3,0,4,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(13.0, 270.0)}","{(23.0, 0.0)}",set()
4,0,5,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(13.0, 270.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
5,0,6,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(13.0, 270.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
6,0,7,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(7.0, 90.0), (13.0, 270.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
7,0,8,"{(23.0, 0.0), (2.0, 135.0)}",set(),set(),"{(23.0, 0.0)}","{(11.0, 90.0)}"
8,0,9,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
9,0,10,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
10,0,11,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(12.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
11,0,12,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(12.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
12,0,13,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(12.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
13,0,14,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(12.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
14,0,15,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(12.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
15,0,16,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(12.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
16,0,17,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(12.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
17,0,18,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(12.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
18,1,1,set(),set(),set(),set(),"{(11.0, 90.0)}"
