,tangram nr,item,grid_val,rot,counts
163,2,small triangle,-1.0,90.0,3
164,2,small triangle,-1.0,135.0,6
165,2,small triangle,-1.0,225.0,7
166,2,small triangle,0.0,90.0,8
167,2,small triangle,0.0,315.0,1
168,2,small triangle,1.0,0.0,4
169,2,small triangle,2.0,0.0,8
170,2,small triangle,2.0,225.0,1
171,2,small triangle,3.0,0.0,2
172,2,small triangle,3.0,135.0,1
173,2,small triangle,3.0,180.0,1
174,2,small triangle,3.0,270.0,15
175,2,small triangle,4.0,0.0,1
176,2,small triangle,4.0,90.0,3
177,2,small triangle,5.0,180.0,4
178,2,small triangle,6.0,180.0,8
179,2,small triangle,7.0,135.0,2
180,2,small triangle,7.0,225.0,1
181,2,small triangle,7.0,270.0,2
182,2,small triangle,8.0,135.0,3
183,2,small triangle,9.0,45.0,1
184,2,small triangle,9.0,315.0,1
185,2,small triangle,10.0,0.0,1
186,2,small triangle,13.0,45.0,2
187,2,small triangle,13.0,135.0,2
188,2,small triangle,13.0,225.0,1
189,2,small triangle,13.0,315.0,2
190,2,small triangle,14.0,315.0,1
191,2,small triangle,15.0,45.0,1
192,2,square,-1.0,0.0,4
193,2,square,-1.0,45.0,4
194,2,square,3.0,0.0,1
195,2,square,13.0,0.0,31
196,2,square,13.0,45.0,1
197,2,square,15.0,0.0,1
198,3,big triangle,-1.0,90.0,1
199,3,big triangle,-1.0,135.0,5
200,3,big triangle,-1.0,180.0,2
201,3,big triangle,-1.0,225.0,6
202,3,big triangle,-1.0,270.0,3
203,3,big triangle,1.0,0.0,1
204,3,big triangle,1.0,45.0,1
205,3,big triangle,6.0,0.0,13
206,3,big triangle,6.0,180.0,2
207,3,big triangle,8.0,135.0,33
208,3,big triangle,9.0,90.0,10
209,3,big triangle,10.0,225.0,9
210,3,big triangle,11.0,225.0,16
211,3,big triangle,12.0,180.0,1
212,3,big triangle,12.0,225.0,1
213,3,big triangle,14.0,225.0,14
214,3,big triangle,15.0,225.0,2
215,3,big triangle,15.0,270.0,1
216,3,middle triangle,-1.0,45.0,1
217,3,middle triangle,-1.0,90.0,3
218,3,middle triangle,-1.0,135.0,1
219,3,middle triangle,-1.0,180.0,3
220,3,middle triangle,-1.0,225.0,11
221,3,middle triangle,0.0,225.0,1
222,3,middle triangle,2.0,180.0,1
223,3,middle triangle,3.0,180.0,1
224,3,middle triangle,3.0,225.0,1
225,3,middle triangle,4.0,0.0,1
226,3,middle triangle,5.0,180.0,20
227,3,middle triangle,6.0,180.0,5
