,tangram nr,item,grid_val,rot,counts
0,1,BIG-T,2.0,0.0,2
1,1,BIG-T,7.0,45.0,4
2,1,BIG-T,7.0,135.0,1
3,1,BIG-T,7.0,225.0,5
4,1,BIG-T,7.0,315.0,7
5,1,BIG-T,8.0,225.0,1
6,1,BIG-T,12.0,0.0,1
7,1,BIG-T,17.0,0.0,27
8,1,BIG-T,17.0,180.0,2
9,1,BIG-T,17.0,225.0,1
10,1,BIG-T,17.0,315.0,1
11,1,BIG-T,22.0,180.0,1
12,1,BIG-T,24.0,270.0,2
13,1,MIDDLE-T,2.0,0.0,1
14,1,MIDDLE-T,6.0,135.0,1
15,1,MIDDLE-T,6.0,180.0,2
16,1,MIDDLE-T,8.0,180.0,2
17,1,MIDDLE-T,8.0,225.0,1
18,1,MIDDLE-T,9.0,180.0,6
19,1,MIDDLE-T,14.0,45.0,1
20,1,MIDDLE-T,21.0,135.0,1
21,1,PARALL,3.0,90.0,3
22,1,PARALL,6.0,135.0,1
23,1,PARALL,7.0,135.0,1
24,1,PARALL,8.0,0.0,1
25,1,PARALL,8.0,45.0,1
26,1,PARALL,8.0,90.0,2
27,1,PARALL,9.0,45.0,4
28,1,PARALL,12.0,135.0,2
29,1,PARALL,13.0,0.0,1
30,1,PARALL,17.0,90.0,1
31,1,PARALL,23.0,90.0,1
32,1,PARALL,24.0,90.0,1
33,1,SMALL-T,1.0,225.0,1
34,1,SMALL-T,2.0,135.0,1
35,1,SMALL-T,4.0,315.0,1
36,1,SMALL-T,5.0,45.0,4
37,1,SMALL-T,8.0,225.0,1
38,1,SMALL-T,9.0,315.0,1
39,1,SMALL-T,11.0,135.0,1
40,1,SMALL-T,11.0,315.0,1
41,1,SMALL-T,12.0,45.0,1
42,1,SMALL-T,12.0,135.0,2
43,1,SMALL-T,12.0,315.0,1
44,1,SMALL-T,14.0,135.0,1
45,1,SMALL-T,15.0,225.0,1
46,1,SMALL-T,16.0,0.0,1
47,1,SMALL-T,22.0,0.0,1
48,1,SQUARE,3.0,0.0,1
49,1,SQUARE,8.0,0.0,2
50,1,SQUARE,9.0,0.0,1
51,1,SQUARE,11.0,0.0,5
52,1,SQUARE,12.0,0.0,1
53,1,SQUARE,14.0,0.0,1
54,1,SQUARE,14.0,45.0,1
55,2,BIG-T,2.0,0.0,9
56,2,BIG-T,8.0,135.0,1
57,2,BIG-T,12.0,0.0,1
58,2,BIG-T,12.0,180.0,11
59,2,BIG-T,13.0,0.0,29
60,2,BIG-T,13.0,180.0,1
61,2,MIDDLE-T,6.0,225.0,7
62,2,MIDDLE-T,8.0,45.0,1
63,2,MIDDLE-T,11.0,0.0,3
64,2,PARALL,11.0,45.0,23
65,2,PARALL,11.0,90.0,2
66,2,PARALL,13.0,90.0,1
67,2,SMALL-T,10.0,135.0,2
68,2,SMALL-T,11.0,0.0,1
69,2,SMALL-T,12.0,45.0,1
70,2,SMALL-T,12.0,315.0,1
71,2,SMALL-T,17.0,45.0,2
72,2,SMALL-T,17.0,225.0,1
73,2,SMALL-T,18.0,0.0,1
74,2,SMALL-T,24.0,45.0,1
75,2,SQUARE,17.0,0.0,19
76,2,SQUARE,22.0,0.0,4
77,2,SQUARE,22.0,45.0,1
78,2,SQUARE,29.0,0.0,1
79,3,BIG-T,8.0,0.0,10
80,3,BIG-T,11.0,135.0,26
81,3,BIG-T,13.0,225.0,7
82,3,BIG-T,16.0,225.0,1
83,3,BIG-T,17.0,90.0,6
84,3,BIG-T,18.0,225.0,7
85,3,BIG-T,24.0,225.0,1
86,3,BIG-T,24.0,270.0,1
87,3,MIDDLE-T,4.0,225.0,1
88,3,MIDDLE-T,6.0,0.0,1
89,3,MIDDLE-T,6.0,180.0,10
90,3,MIDDLE-T,7.0,180.0,2
91,3,MIDDLE-T,12.0,225.0,1
92,3,MIDDLE-T,22.0,225.0,1
93,3,MIDDLE-T,24.0,90.0,1
94,3,PARALL,1.0,90.0,1
95,3,PARALL,1.0,135.0,2
96,3,PARALL,2.0,45.0,13
97,3,PARALL,8.0,90.0,3
98,3,PARALL,11.0,45.0,1
99,3,PARALL,12.0,0.0,4
100,3,PARALL,24.0,0.0,1
101,3,SMALL-T,1.0,45.0,4
102,3,SMALL-T,3.0,315.0,4
103,3,SMALL-T,4.0,90.0,1
104,3,SMALL-T,12.0,135.0,1
105,3,SMALL-T,19.0,225.0,1
106,3,SMALL-T,22.0,90.0,1
107,3,SQUARE,2.0,0.0,8
108,3,SQUARE,11.0,0.0,1
109,3,SQUARE,12.0,0.0,1
110,3,SQUARE,17.0,45.0,1
111,4,BIG-T,7.0,45.0,4
112,4,BIG-T,7.0,90.0,2
113,4,BIG-T,8.0,90.0,1
114,4,BIG-T,8.0,270.0,1
115,4,BIG-T,9.0,180.0,1
116,4,BIG-T,10.0,225.0,1
117,4,BIG-T,12.0,45.0,1
118,4,BIG-T,12.0,135.0,4
119,4,BIG-T,12.0,180.0,1
120,4,BIG-T,13.0,270.0,19
121,4,BIG-T,14.0,90.0,1
122,4,BIG-T,14.0,180.0,1
123,4,BIG-T,17.0,135.0,3
124,4,MIDDLE-T,14.0,270.0,1
125,4,PARALL,11.0,45.0,1
126,4,PARALL,11.0,90.0,22
127,4,PARALL,12.0,90.0,1
128,4,SMALL-T,2.0,135.0,16
129,4,SMALL-T,23.0,0.0,23
130,4,SQUARE,23.0,0.0,20
