,tangram nr,item,grid_val,rot,counts,strength
0,1,BIG-T,5.0,45.0,2,0.03225806451612903
1,1,BIG-T,5.0,225.0,3,0.04838709677419355
2,1,BIG-T,5.0,315.0,6,0.0967741935483871
3,1,BIG-T,9.0,0.0,24,0.3870967741935484
4,1,BIG-T,9.0,180.0,1,0.016129032258064516
5,1,BIG-T,15.0,270.0,1,0.016129032258064516
6,1,MIDDLE-T,1.0,0.0,1,0.016129032258064516
7,1,MIDDLE-T,5.0,135.0,1,0.016129032258064516
8,1,MIDDLE-T,6.0,225.0,1,0.016129032258064516
9,1,MIDDLE-T,7.0,180.0,2,0.03225806451612903
10,1,MIDDLE-T,11.0,45.0,1,0.016129032258064516
11,1,PARALL,2.0,90.0,1,0.016129032258064516
12,1,PARALL,5.0,135.0,1,0.016129032258064516
13,1,PARALL,5.0,315.0,1,0.016129032258064516
14,1,PARALL,6.0,0.0,1,0.016129032258064516
15,1,PARALL,9.0,270.0,1,0.016129032258064516
16,1,PARALL,14.0,90.0,1,0.016129032258064516
17,1,SMALL-T,1.0,225.0,1,0.016129032258064516
18,1,SMALL-T,2.0,135.0,1,0.016129032258064516
19,1,SMALL-T,5.0,315.0,1,0.016129032258064516
20,1,SMALL-T,6.0,135.0,2,0.03225806451612903
21,1,SMALL-T,6.0,315.0,1,0.016129032258064516
22,1,SMALL-T,9.0,0.0,1,0.016129032258064516
23,1,SQUARE,5.0,90.0,3,0.04838709677419355
24,1,SQUARE,6.0,90.0,1,0.016129032258064516
25,1,SQUARE,7.0,180.0,1,0.016129032258064516
26,1,SQUARE,11.0,90.0,1,0.016129032258064516
27,2,BIG-T,2.0,0.0,6,0.08333333333333333
28,2,BIG-T,5.0,135.0,1,0.013888888888888888
29,2,BIG-T,6.0,0.0,24,0.3333333333333333
30,2,BIG-T,6.0,135.0,1,0.013888888888888888
31,2,BIG-T,6.0,180.0,9,0.125
32,2,MIDDLE-T,1.0,225.0,1,0.013888888888888888
33,2,MIDDLE-T,5.0,0.0,1,0.013888888888888888
34,2,MIDDLE-T,5.0,225.0,4,0.05555555555555555
35,2,MIDDLE-T,6.0,45.0,1,0.013888888888888888
36,2,PARALL,9.0,45.0,4,0.05555555555555555
37,2,PARALL,9.0,90.0,2,0.027777777777777776
38,2,PARALL,9.0,225.0,13,0.18055555555555555
39,2,PARALL,11.0,90.0,1,0.013888888888888888
40,2,SMALL-T,8.0,135.0,1,0.013888888888888888
41,2,SMALL-T,9.0,45.0,1,0.013888888888888888
42,2,SMALL-T,10.0,0.0,1,0.013888888888888888
43,2,SMALL-T,15.0,45.0,1,0.013888888888888888
44,3,BIG-T,1.0,0.0,1,0.010752688172043012
45,3,BIG-T,6.0,0.0,10,0.10752688172043011
46,3,BIG-T,8.0,135.0,24,0.25806451612903225
47,3,BIG-T,9.0,90.0,3,0.03225806451612903
48,3,BIG-T,10.0,225.0,3,0.03225806451612903
49,3,BIG-T,11.0,225.0,5,0.053763440860215055
50,3,BIG-T,14.0,225.0,3,0.03225806451612903
51,3,BIG-T,15.0,225.0,1,0.010752688172043012
52,3,BIG-T,15.0,270.0,1,0.010752688172043012
53,3,MIDDLE-T,5.0,180.0,8,0.08602150537634409
54,3,MIDDLE-T,6.0,180.0,2,0.021505376344086023
55,3,MIDDLE-T,6.0,225.0,1,0.010752688172043012
56,3,MIDDLE-T,15.0,90.0,1,0.010752688172043012
57,3,PARALL,1.0,90.0,1,0.010752688172043012
58,3,PARALL,1.0,135.0,1,0.010752688172043012
59,3,PARALL,2.0,225.0,11,0.11827956989247312
60,3,PARALL,6.0,90.0,1,0.010752688172043012
61,3,PARALL,7.0,90.0,2,0.021505376344086023
62,3,PARALL,9.0,180.0,3,0.03225806451612903
63,3,PARALL,15.0,135.0,1,0.010752688172043012
64,3,SMALL-T,2.0,315.0,4,0.043010752688172046
65,3,SQUARE,1.0,90.0,4,0.043010752688172046
66,3,SQUARE,10.0,45.0,1,0.010752688172043012
67,3,SQUARE,10.0,180.0,1,0.010752688172043012
68,4,BIG-T,2.0,90.0,1,0.010416666666666666
69,4,BIG-T,5.0,90.0,1,0.010416666666666666
70,4,BIG-T,5.0,225.0,1,0.010416666666666666
71,4,BIG-T,6.0,45.0,2,0.020833333333333332
72,4,BIG-T,6.0,90.0,1,0.010416666666666666
73,4,BIG-T,6.0,270.0,2,0.020833333333333332
74,4,BIG-T,10.0,135.0,4,0.041666666666666664
75,4,BIG-T,11.0,90.0,1,0.010416666666666666
76,4,BIG-T,11.0,180.0,1,0.010416666666666666
77,4,BIG-T,11.0,270.0,11,0.11458333333333333
78,4,MIDDLE-T,7.0,270.0,1,0.010416666666666666
79,4,PARALL,9.0,90.0,13,0.13541666666666666
80,4,PARALL,9.0,270.0,7,0.07291666666666667
81,4,SMALL-T,1.0,135.0,6,0.0625
82,4,SMALL-T,2.0,135.0,6,0.0625
83,4,SMALL-T,15.0,0.0,20,0.20833333333333334
84,4,SQUARE,14.0,90.0,1,0.010416666666666666
85,4,SQUARE,15.0,90.0,17,0.17708333333333334
