,tangram nr,item,grid_val,rot,counts,strength
0,1,BIG-T,2.0,0.0,1,0.006369426751592357
1,1,BIG-T,7.0,45.0,7,0.044585987261146494
2,1,BIG-T,7.0,135.0,6,0.03821656050955414
3,1,BIG-T,7.0,225.0,8,0.050955414012738856
4,1,BIG-T,7.0,315.0,7,0.044585987261146494
5,1,BIG-T,8.0,225.0,2,0.012738853503184714
6,1,BIG-T,17.0,0.0,25,0.1592356687898089
7,1,BIG-T,17.0,180.0,1,0.006369426751592357
8,1,BIG-T,24.0,0.0,1,0.006369426751592357
9,1,MIDDLE-T,2.0,0.0,1,0.006369426751592357
10,1,MIDDLE-T,3.0,180.0,1,0.006369426751592357
11,1,MIDDLE-T,7.0,135.0,1,0.006369426751592357
12,1,MIDDLE-T,8.0,180.0,7,0.044585987261146494
13,1,MIDDLE-T,9.0,180.0,4,0.025477707006369428
14,1,MIDDLE-T,11.0,225.0,1,0.006369426751592357
15,1,MIDDLE-T,12.0,135.0,1,0.006369426751592357
16,1,MIDDLE-T,14.0,45.0,2,0.012738853503184714
17,1,MIDDLE-T,16.0,180.0,1,0.006369426751592357
18,1,MIDDLE-T,17.0,0.0,2,0.012738853503184714
19,1,PARALL,2.0,0.0,1,0.006369426751592357
20,1,PARALL,2.0,45.0,1,0.006369426751592357
21,1,PARALL,2.0,90.0,1,0.006369426751592357
22,1,PARALL,3.0,45.0,1,0.006369426751592357
23,1,PARALL,3.0,90.0,1,0.006369426751592357
24,1,PARALL,3.0,135.0,3,0.01910828025477707
25,1,PARALL,7.0,45.0,1,0.006369426751592357
26,1,PARALL,7.0,90.0,1,0.006369426751592357
27,1,PARALL,8.0,45.0,1,0.006369426751592357
28,1,PARALL,9.0,0.0,1,0.006369426751592357
29,1,PARALL,9.0,45.0,4,0.025477707006369428
30,1,PARALL,12.0,135.0,1,0.006369426751592357
31,1,PARALL,17.0,90.0,2,0.012738853503184714
32,1,PARALL,19.0,135.0,1,0.006369426751592357
33,1,PARALL,24.0,135.0,1,0.006369426751592357
34,1,SMALL-T,2.0,225.0,1,0.006369426751592357
35,1,SMALL-T,3.0,225.0,1,0.006369426751592357
36,1,SMALL-T,3.0,315.0,2,0.012738853503184714
37,1,SMALL-T,8.0,135.0,1,0.006369426751592357
38,1,SMALL-T,9.0,135.0,1,0.006369426751592357
39,1,SMALL-T,9.0,315.0,3,0.01910828025477707
40,1,SMALL-T,11.0,45.0,6,0.03821656050955414
41,1,SMALL-T,11.0,315.0,1,0.006369426751592357
42,1,SMALL-T,12.0,45.0,2,0.012738853503184714
43,1,SMALL-T,12.0,135.0,3,0.01910828025477707
44,1,SMALL-T,12.0,315.0,4,0.025477707006369428
45,1,SMALL-T,14.0,45.0,2,0.012738853503184714
46,1,SMALL-T,14.0,315.0,1,0.006369426751592357
47,1,SMALL-T,16.0,0.0,1,0.006369426751592357
48,1,SMALL-T,17.0,0.0,1,0.006369426751592357
49,1,SMALL-T,19.0,45.0,1,0.006369426751592357
50,1,SQUARE,3.0,0.0,3,0.01910828025477707
51,1,SQUARE,8.0,0.0,5,0.03184713375796178
52,1,SQUARE,11.0,0.0,10,0.06369426751592357
53,1,SQUARE,11.0,45.0,1,0.006369426751592357
54,1,SQUARE,12.0,0.0,7,0.044585987261146494
55,2,BIG-T,2.0,0.0,14,0.09333333333333334
56,2,BIG-T,12.0,180.0,17,0.11333333333333333
57,2,BIG-T,13.0,0.0,31,0.20666666666666667
58,2,MIDDLE-T,8.0,45.0,6,0.04
59,2,MIDDLE-T,8.0,135.0,3,0.02
60,2,MIDDLE-T,17.0,135.0,1,0.006666666666666667
61,2,PARALL,11.0,45.0,29,0.19333333333333333
62,2,PARALL,11.0,90.0,1,0.006666666666666667
63,2,SMALL-T,3.0,0.0,10,0.06666666666666667
64,2,SMALL-T,3.0,180.0,1,0.006666666666666667
65,2,SMALL-T,3.0,225.0,1,0.006666666666666667
66,2,SMALL-T,8.0,135.0,1,0.006666666666666667
67,2,SMALL-T,9.0,225.0,1,0.006666666666666667
68,2,SMALL-T,9.0,270.0,16,0.10666666666666667
69,2,SMALL-T,10.0,135.0,1,0.006666666666666667
70,2,SMALL-T,11.0,180.0,5,0.03333333333333333
71,2,SMALL-T,13.0,180.0,7,0.04666666666666667
72,2,SMALL-T,18.0,0.0,1,0.006666666666666667
73,2,SQUARE,17.0,0.0,3,0.02
74,2,SQUARE,24.0,0.0,1,0.006666666666666667
75,3,BIG-T,8.0,0.0,12,0.07317073170731707
76,3,BIG-T,11.0,135.0,23,0.1402439024390244
77,3,BIG-T,12.0,225.0,2,0.012195121951219513
78,3,BIG-T,13.0,45.0,1,0.006097560975609756
79,3,BIG-T,13.0,225.0,2,0.012195121951219513
80,3,BIG-T,17.0,90.0,10,0.06097560975609756
81,3,BIG-T,17.0,135.0,1,0.006097560975609756
82,3,BIG-T,17.0,225.0,1,0.006097560975609756
83,3,BIG-T,18.0,225.0,8,0.04878048780487805
84,3,BIG-T,23.0,225.0,1,0.006097560975609756
85,3,MIDDLE-T,7.0,180.0,5,0.03048780487804878
86,3,MIDDLE-T,12.0,90.0,1,0.006097560975609756
87,3,MIDDLE-T,12.0,135.0,1,0.006097560975609756
88,3,MIDDLE-T,12.0,270.0,1,0.006097560975609756
89,3,MIDDLE-T,19.0,0.0,1,0.006097560975609756
90,3,MIDDLE-T,23.0,90.0,1,0.006097560975609756
91,3,MIDDLE-T,24.0,225.0,1,0.006097560975609756
92,3,PARALL,2.0,45.0,16,0.0975609756097561
93,3,PARALL,3.0,45.0,1,0.006097560975609756
94,3,PARALL,8.0,45.0,1,0.006097560975609756
95,3,PARALL,8.0,90.0,2,0.012195121951219513
96,3,PARALL,9.0,90.0,1,0.006097560975609756
97,3,PARALL,17.0,0.0,1,0.006097560975609756
98,3,PARALL,17.0,135.0,1,0.006097560975609756
99,3,PARALL,19.0,90.0,1,0.006097560975609756
100,3,SMALL-T,2.0,315.0,1,0.006097560975609756
101,3,SMALL-T,3.0,315.0,8,0.04878048780487805
102,3,SMALL-T,7.0,0.0,3,0.018292682926829267
103,3,SMALL-T,8.0,315.0,1,0.006097560975609756
104,3,SMALL-T,9.0,0.0,4,0.024390243902439025
105,3,SMALL-T,10.0,135.0,5,0.03048780487804878
106,3,SMALL-T,12.0,90.0,6,0.036585365853658534
107,3,SMALL-T,14.0,0.0,1,0.006097560975609756
108,3,SMALL-T,14.0,45.0,1,0.006097560975609756
109,3,SMALL-T,16.0,135.0,5,0.03048780487804878
110,3,SMALL-T,17.0,0.0,1,0.006097560975609756
111,3,SMALL-T,17.0,135.0,1,0.006097560975609756
112,3,SMALL-T,24.0,225.0,1,0.006097560975609756
113,3,SQUARE,2.0,0.0,8,0.04878048780487805
114,3,SQUARE,7.0,45.0,1,0.006097560975609756
115,3,SQUARE,11.0,0.0,5,0.03048780487804878
116,3,SQUARE,12.0,0.0,4,0.024390243902439025
117,3,SQUARE,13.0,45.0,4,0.024390243902439025
118,3,SQUARE,17.0,45.0,7,0.042682926829268296
119,3,SQUARE,24.0,0.0,1,0.006097560975609756
120,4,BIG-T,7.0,45.0,21,0.10294117647058823
121,4,BIG-T,7.0,90.0,2,0.00980392156862745
122,4,BIG-T,8.0,225.0,1,0.004901960784313725
123,4,BIG-T,8.0,270.0,2,0.00980392156862745
124,4,BIG-T,8.0,315.0,1,0.004901960784313725
125,4,BIG-T,12.0,135.0,14,0.06862745098039216
126,4,BIG-T,13.0,180.0,2,0.00980392156862745
127,4,BIG-T,13.0,270.0,9,0.04411764705882353
128,4,BIG-T,17.0,135.0,7,0.03431372549019608
129,4,MIDDLE-T,3.0,225.0,1,0.004901960784313725
130,4,MIDDLE-T,7.0,225.0,10,0.049019607843137254
131,4,MIDDLE-T,8.0,135.0,2,0.00980392156862745
132,4,MIDDLE-T,8.0,225.0,11,0.05392156862745098
133,4,MIDDLE-T,12.0,270.0,1,0.004901960784313725
134,4,MIDDLE-T,14.0,270.0,1,0.004901960784313725
135,4,PARALL,7.0,0.0,1,0.004901960784313725
136,4,PARALL,9.0,135.0,1,0.004901960784313725
137,4,PARALL,11.0,45.0,2,0.00980392156862745
138,4,PARALL,11.0,90.0,24,0.11764705882352941
139,4,PARALL,12.0,90.0,1,0.004901960784313725
140,4,PARALL,13.0,45.0,1,0.004901960784313725
141,4,SMALL-T,2.0,90.0,1,0.004901960784313725
142,4,SMALL-T,2.0,135.0,26,0.12745098039215685
143,4,SMALL-T,11.0,0.0,1,0.004901960784313725
144,4,SMALL-T,23.0,0.0,30,0.14705882352941177
145,4,SQUARE,8.0,0.0,1,0.004901960784313725
146,4,SQUARE,23.0,0.0,29,0.14215686274509803
147,4,SQUARE,23.0,45.0,1,0.004901960784313725
