,tangram nr,item,grid_val,rot,counts,strength
0,1,BIG-T,2.0,0.0,13,0.021172638436482084
1,1,BIG-T,7.0,45.0,24,0.03908794788273615
2,1,BIG-T,7.0,135.0,14,0.02280130293159609
3,1,BIG-T,7.0,225.0,41,0.06677524429967427
4,1,BIG-T,7.0,315.0,39,0.06351791530944625
8,1,BIG-T,17.0,0.0,127,0.20684039087947884
15,1,MIDDLE-T,6.0,180.0,28,0.04560260586319218
16,1,MIDDLE-T,8.0,180.0,14,0.02280130293159609
17,1,MIDDLE-T,9.0,180.0,28,0.04560260586319218
28,1,PARALL,3.0,90.0,10,0.016286644951140065
29,1,PARALL,3.0,135.0,10,0.016286644951140065
30,1,PARALL,4.0,45.0,10,0.016286644951140065
31,1,PARALL,6.0,135.0,10,0.016286644951140065
34,1,PARALL,8.0,45.0,10,0.016286644951140065
35,1,PARALL,9.0,45.0,25,0.04071661237785016
38,1,PARALL,17.0,90.0,8,0.013029315960912053
47,1,SMALL-T,4.0,315.0,12,0.019543973941368076
48,1,SMALL-T,5.0,45.0,26,0.04234527687296417
53,1,SMALL-T,9.0,315.0,11,0.017915309446254073
54,1,SMALL-T,11.0,45.0,9,0.014657980456026058
55,1,SMALL-T,11.0,135.0,10,0.016286644951140065
56,1,SMALL-T,11.0,315.0,9,0.014657980456026058
57,1,SMALL-T,12.0,45.0,14,0.02280130293159609
58,1,SMALL-T,12.0,135.0,11,0.017915309446254073
59,1,SMALL-T,12.0,315.0,8,0.013029315960912053
68,1,SQUARE,3.0,0.0,8,0.013029315960912053
69,1,SQUARE,8.0,0.0,32,0.05211726384364821
71,1,SQUARE,11.0,0.0,29,0.04723127035830619
73,1,SQUARE,12.0,0.0,24,0.03908794788273615
80,2,BIG-T,2.0,0.0,69,0.07903780068728522
84,2,BIG-T,12.0,180.0,79,0.09049255441008018
85,2,BIG-T,13.0,0.0,150,0.1718213058419244
87,2,MIDDLE-T,6.0,225.0,67,0.07674684994272624
88,2,MIDDLE-T,6.0,315.0,34,0.038946162657502864
89,2,MIDDLE-T,8.0,45.0,21,0.024054982817869417
90,2,MIDDLE-T,8.0,135.0,13,0.014891179839633447
91,2,MIDDLE-T,11.0,0.0,6,0.006872852233676976
93,2,PARALL,11.0,45.0,138,0.15807560137457044
96,2,SMALL-T,1.0,0.0,6,0.006872852233676976
98,2,SMALL-T,3.0,0.0,30,0.03436426116838488
100,2,SMALL-T,5.0,90.0,22,0.025200458190148912
101,2,SMALL-T,8.0,135.0,6,0.006872852233676976
104,2,SMALL-T,9.0,270.0,49,0.056128293241695305
105,2,SMALL-T,10.0,135.0,10,0.011454753722794959
107,2,SMALL-T,11.0,180.0,11,0.012600229095074456
110,2,SMALL-T,13.0,180.0,23,0.026345933562428408
117,2,SQUARE,17.0,0.0,115,0.13172966781214204
118,2,SQUARE,22.0,0.0,24,0.027491408934707903
122,3,BIG-T,8.0,0.0,60,0.08163265306122448
123,3,BIG-T,11.0,135.0,132,0.17959183673469387
125,3,BIG-T,13.0,225.0,21,0.02857142857142857
127,3,BIG-T,17.0,90.0,36,0.04897959183673469
128,3,BIG-T,17.0,225.0,9,0.012244897959183673
129,3,BIG-T,18.0,225.0,38,0.05170068027210884
133,3,MIDDLE-T,6.0,180.0,65,0.08843537414965986
134,3,MIDDLE-T,7.0,180.0,17,0.02312925170068027
146,3,PARALL,1.0,135.0,13,0.017687074829931974
147,3,PARALL,2.0,45.0,73,0.09931972789115646
150,3,PARALL,8.0,90.0,15,0.02040816326530612
152,3,PARALL,12.0,0.0,14,0.01904761904761905
157,3,SMALL-T,1.0,45.0,30,0.04081632653061224
158,3,SMALL-T,3.0,315.0,41,0.055782312925170066
160,3,SMALL-T,7.0,0.0,6,0.00816326530612245
162,3,SMALL-T,10.0,135.0,13,0.017687074829931974
163,3,SMALL-T,12.0,90.0,14,0.01904761904761905
168,3,SMALL-T,16.0,135.0,12,0.0163265306122449
171,3,SMALL-T,22.0,90.0,24,0.0326530612244898
174,3,SQUARE,2.0,0.0,44,0.05986394557823129
177,3,SQUARE,11.0,0.0,22,0.029931972789115645
178,3,SQUARE,12.0,0.0,10,0.013605442176870748
180,3,SQUARE,13.0,45.0,6,0.00816326530612245
182,3,SQUARE,17.0,45.0,20,0.027210884353741496
185,4,BIG-T,7.0,45.0,67,0.08230958230958231
186,4,BIG-T,7.0,90.0,14,0.0171990171990172
191,4,BIG-T,8.0,270.0,6,0.007371007371007371
194,4,BIG-T,12.0,135.0,55,0.06756756756756757
197,4,BIG-T,13.0,270.0,70,0.085995085995086
199,4,BIG-T,17.0,135.0,27,0.033169533169533166
201,4,MIDDLE-T,7.0,225.0,30,0.036855036855036855
203,4,MIDDLE-T,8.0,225.0,34,0.04176904176904177
209,4,PARALL,11.0,45.0,6,0.007371007371007371
210,4,PARALL,11.0,90.0,131,0.16093366093366093
214,4,SMALL-T,2.0,135.0,106,0.13022113022113022
216,4,SMALL-T,23.0,0.0,137,0.1683046683046683
219,4,SQUARE,23.0,0.0,131,0.16093366093366093
