,sid,tangram nr,step,small triangle,middle triangle,big triangle,square,parallelogram
41,85931,3,10,"{(12.0, 90.0), (22.0, 90.0)}","{(6.0, 180.0)}","{(8.0, 0.0), (11.0, 135.0)}","{(17.0, 45.0)}","{(2.0, 45.0)}"
42,85931,3,11,"{(12.0, 90.0), (22.0, 90.0)}","{(6.0, 180.0)}","{(8.0, 0.0), (11.0, 135.0)}","{(17.0, 45.0)}","{(2.0, 45.0)}"
43,85931,3,12,"{(12.0, 90.0), (22.0, 90.0)}","{(6.0, 180.0)}","{(8.0, 0.0), (11.0, 135.0)}","{(17.0, 45.0)}","{(2.0, 45.0)}"
44,85931,3,13,"{(12.0, 90.0), (22.0, 90.0)}","{(6.0, 180.0)}","{(8.0, 0.0), (11.0, 135.0)}","{(17.0, 45.0)}","{(2.0, 45.0)}"
45,85931,3,14,"{(12.0, 90.0), (22.0, 90.0)}","{(6.0, 180.0)}","{(8.0, 0.0), (11.0, 135.0)}","{(17.0, 45.0)}","{(2.0, 45.0)}"
46,85931,3,15,"{(12.0, 90.0), (22.0, 90.0)}","{(6.0, 180.0)}","{(8.0, 0.0), (11.0, 135.0)}","{(17.0, 45.0)}","{(2.0, 45.0)}"
47,85931,3,16,"{(12.0, 90.0), (22.0, 90.0)}","{(6.0, 180.0)}","{(8.0, 0.0), (11.0, 135.0)}","{(17.0, 45.0)}","{(2.0, 45.0)}"
48,85931,4,1,set(),set(),set(),set(),"{(11.0, 90.0)}"
49,85931,4,2,"{(23.0, 0.0)}",set(),set(),set(),"{(11.0, 90.0)}"
50,85931,4,3,"{(23.0, 0.0)}",set(),set(),"{(23.0, 0.0)}","{(11.0, 90.0)}"
51,85931,4,4,"{(23.0, 0.0), (2.0, 135.0)}",set(),set(),"{(23.0, 0.0)}","{(11.0, 90.0)}"
52,85931,4,5,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(13.0, 270.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
