,tangram nr,item,grid_val,rot,counts
0,1,BIG-T,2.0,0.0,7
1,1,BIG-T,7.0,45.0,11
2,1,BIG-T,7.0,135.0,6
3,1,BIG-T,7.0,225.0,10
4,1,BIG-T,7.0,315.0,15
5,1,BIG-T,8.0,180.0,1
6,1,BIG-T,8.0,225.0,3
7,1,BIG-T,12.0,0.0,2
8,1,BIG-T,17.0,0.0,33
9,1,BIG-T,17.0,180.0,2
10,1,BIG-T,17.0,225.0,1
11,1,BIG-T,17.0,315.0,1
12,1,BIG-T,19.0,180.0,1
13,1,BIG-T,22.0,180.0,1
14,1,BIG-T,23.0,0.0,1
15,1,BIG-T,24.0,0.0,1
16,1,BIG-T,24.0,270.0,2
17,1,MIDDLE-T,2.0,0.0,3
18,1,MIDDLE-T,3.0,180.0,1
19,1,MIDDLE-T,6.0,90.0,1
20,1,MIDDLE-T,6.0,135.0,1
21,1,MIDDLE-T,6.0,180.0,10
22,1,MIDDLE-T,7.0,135.0,1
23,1,MIDDLE-T,8.0,180.0,9
24,1,MIDDLE-T,8.0,225.0,1
25,1,MIDDLE-T,9.0,180.0,9
26,1,MIDDLE-T,11.0,45.0,1
27,1,MIDDLE-T,11.0,225.0,1
28,1,MIDDLE-T,11.0,315.0,1
29,1,MIDDLE-T,12.0,135.0,2
30,1,MIDDLE-T,14.0,45.0,3
31,1,MIDDLE-T,16.0,135.0,1
32,1,MIDDLE-T,17.0,0.0,2
33,1,MIDDLE-T,19.0,180.0,1
34,1,MIDDLE-T,21.0,135.0,1
35,1,MIDDLE-T,24.0,180.0,1
36,1,PARALL,1.0,135.0,1
37,1,PARALL,2.0,45.0,2
38,1,PARALL,2.0,90.0,1
39,1,PARALL,3.0,45.0,1
40,1,PARALL,3.0,90.0,4
41,1,PARALL,3.0,135.0,3
42,1,PARALL,4.0,45.0,6
43,1,PARALL,6.0,135.0,3
44,1,PARALL,7.0,0.0,1
45,1,PARALL,7.0,45.0,2
46,1,PARALL,7.0,135.0,1
47,1,PARALL,8.0,0.0,1
48,1,PARALL,8.0,45.0,3
49,1,PARALL,8.0,90.0,2
50,1,PARALL,9.0,45.0,7
51,1,PARALL,12.0,45.0,1
52,1,PARALL,12.0,90.0,1
53,1,PARALL,12.0,135.0,3
54,1,PARALL,13.0,0.0,1
55,1,PARALL,14.0,135.0,1
56,1,PARALL,16.0,90.0,1
57,1,PARALL,17.0,90.0,4
58,1,PARALL,19.0,135.0,1
59,1,PARALL,20.0,90.0,1
60,1,PARALL,23.0,90.0,1
61,1,PARALL,24.0,45.0,2
62,1,PARALL,24.0,90.0,2
63,1,PARALL,24.0,135.0,1
64,1,PARALL,25.0,90.0,1
65,1,SMALL-T,1.0,225.0,2
66,1,SMALL-T,2.0,135.0,1
67,1,SMALL-T,2.0,225.0,1
68,1,SMALL-T,3.0,225.0,1
69,1,SMALL-T,3.0,315.0,2
70,1,SMALL-T,4.0,45.0,1
71,1,SMALL-T,4.0,315.0,6
72,1,SMALL-T,5.0,45.0,10
73,1,SMALL-T,6.0,45.0,1
74,1,SMALL-T,7.0,315.0,1
75,1,SMALL-T,8.0,135.0,1
76,1,SMALL-T,8.0,225.0,1
77,1,SMALL-T,8.0,315.0,1
78,1,SMALL-T,9.0,135.0,1
79,1,SMALL-T,9.0,315.0,4
80,1,SMALL-T,11.0,45.0,7
81,1,SMALL-T,11.0,135.0,3
82,1,SMALL-T,11.0,315.0,3
83,1,SMALL-T,12.0,45.0,6
84,1,SMALL-T,12.0,135.0,4
85,1,SMALL-T,12.0,315.0,6
86,1,SMALL-T,14.0,45.0,2
87,1,SMALL-T,14.0,135.0,1
88,1,SMALL-T,14.0,315.0,1
89,1,SMALL-T,15.0,225.0,1
90,1,SMALL-T,16.0,0.0,2
91,1,SMALL-T,17.0,0.0,1
92,1,SMALL-T,19.0,45.0,1
93,1,SMALL-T,19.0,135.0,1
94,1,SMALL-T,22.0,0.0,2
95,1,SQUARE,1.0,0.0,1
96,1,SQUARE,3.0,0.0,6
97,1,SQUARE,4.0,0.0,1
