,tangram nr,item,grid_val,rot,counts
0,1,BIG-T,2.0,0.0,6
1,1,BIG-T,6.0,180.0,1
2,1,BIG-T,7.0,45.0,6
3,1,BIG-T,7.0,135.0,4
4,1,BIG-T,7.0,225.0,9
5,1,BIG-T,7.0,315.0,12
6,1,BIG-T,8.0,180.0,1
7,1,BIG-T,8.0,225.0,1
8,1,BIG-T,12.0,0.0,1
9,1,BIG-T,12.0,270.0,1
10,1,BIG-T,17.0,0.0,31
11,1,BIG-T,17.0,180.0,2
12,1,BIG-T,17.0,225.0,1
13,1,BIG-T,17.0,315.0,1
14,1,BIG-T,19.0,180.0,1
15,1,BIG-T,22.0,180.0,1
16,1,BIG-T,24.0,270.0,2
17,1,MIDDLE-T,1.0,135.0,1
18,1,MIDDLE-T,2.0,0.0,2
19,1,MIDDLE-T,4.0,315.0,1
20,1,MIDDLE-T,6.0,90.0,1
21,1,MIDDLE-T,6.0,135.0,2
22,1,MIDDLE-T,6.0,180.0,7
23,1,MIDDLE-T,7.0,45.0,1
24,1,MIDDLE-T,8.0,180.0,4
25,1,MIDDLE-T,8.0,225.0,1
26,1,MIDDLE-T,8.0,315.0,1
27,1,MIDDLE-T,9.0,180.0,8
28,1,MIDDLE-T,14.0,45.0,2
29,1,MIDDLE-T,16.0,180.0,1
30,1,MIDDLE-T,21.0,135.0,1
31,1,PARALL,2.0,45.0,1
32,1,PARALL,2.0,90.0,1
33,1,PARALL,3.0,45.0,1
34,1,PARALL,3.0,90.0,4
35,1,PARALL,3.0,135.0,3
36,1,PARALL,4.0,45.0,2
37,1,PARALL,6.0,90.0,1
38,1,PARALL,6.0,135.0,1
39,1,PARALL,7.0,45.0,2
40,1,PARALL,7.0,135.0,1
41,1,PARALL,8.0,0.0,1
42,1,PARALL,8.0,45.0,3
43,1,PARALL,8.0,90.0,2
44,1,PARALL,9.0,45.0,7
45,1,PARALL,12.0,135.0,2
46,1,PARALL,13.0,0.0,1
47,1,PARALL,14.0,135.0,1
48,1,PARALL,17.0,90.0,1
