,tangram nr,item,grid_val,rot,counts,strength
0,1,BIG-T,2.0,0.0,3,0.01775147928994083
1,1,BIG-T,7.0,45.0,5,0.029585798816568046
2,1,BIG-T,7.0,135.0,4,0.023668639053254437
3,1,BIG-T,7.0,225.0,8,0.047337278106508875
4,1,BIG-T,7.0,315.0,8,0.047337278106508875
5,1,BIG-T,8.0,180.0,1,0.005917159763313609
6,1,BIG-T,8.0,225.0,1,0.005917159763313609
7,1,BIG-T,12.0,0.0,1,0.005917159763313609
8,1,BIG-T,17.0,0.0,25,0.14792899408284024
9,1,BIG-T,17.0,180.0,1,0.005917159763313609
10,1,BIG-T,19.0,180.0,1,0.005917159763313609
11,1,BIG-T,24.0,0.0,1,0.005917159763313609
12,1,MIDDLE-T,2.0,0.0,1,0.005917159763313609
13,1,MIDDLE-T,6.0,90.0,1,0.005917159763313609
14,1,MIDDLE-T,6.0,135.0,1,0.005917159763313609
15,1,MIDDLE-T,6.0,180.0,6,0.03550295857988166
16,1,MIDDLE-T,8.0,180.0,3,0.01775147928994083
17,1,MIDDLE-T,9.0,180.0,5,0.029585798816568046
18,1,MIDDLE-T,11.0,225.0,1,0.005917159763313609
19,1,MIDDLE-T,12.0,135.0,1,0.005917159763313609
20,1,MIDDLE-T,14.0,45.0,1,0.005917159763313609
21,1,MIDDLE-T,16.0,135.0,1,0.005917159763313609
22,1,MIDDLE-T,17.0,0.0,1,0.005917159763313609
23,1,MIDDLE-T,21.0,135.0,1,0.005917159763313609
24,1,MIDDLE-T,24.0,180.0,1,0.005917159763313609
25,1,PARALL,3.0,45.0,1,0.005917159763313609
26,1,PARALL,3.0,90.0,2,0.011834319526627219
27,1,PARALL,3.0,135.0,3,0.01775147928994083
28,1,PARALL,4.0,45.0,3,0.01775147928994083
29,1,PARALL,6.0,135.0,2,0.011834319526627219
30,1,PARALL,7.0,45.0,2,0.011834319526627219
31,1,PARALL,8.0,45.0,1,0.005917159763313609
32,1,PARALL,9.0,45.0,6,0.03550295857988166
33,1,PARALL,14.0,135.0,1,0.005917159763313609
34,1,PARALL,17.0,90.0,2,0.011834319526627219
