,tangram nr,item,grid_val,rot,counts,strength
0,1,BIG-T,7.0,45.0,4,0.019704433497536946
1,1,BIG-T,7.0,135.0,5,0.024630541871921183
2,1,BIG-T,7.0,225.0,12,0.059113300492610835
3,1,BIG-T,7.0,315.0,6,0.029556650246305417
4,1,BIG-T,8.0,225.0,3,0.014778325123152709
5,1,BIG-T,10.0,45.0,1,0.0049261083743842365
6,1,BIG-T,12.0,0.0,1,0.0049261083743842365
7,1,BIG-T,14.0,135.0,1,0.0049261083743842365
8,1,BIG-T,17.0,0.0,26,0.12807881773399016
9,1,BIG-T,24.0,0.0,1,0.0049261083743842365
10,1,MIDDLE-T,2.0,0.0,2,0.009852216748768473
11,1,MIDDLE-T,3.0,0.0,1,0.0049261083743842365
12,1,MIDDLE-T,6.0,135.0,1,0.0049261083743842365
13,1,MIDDLE-T,6.0,180.0,8,0.03940886699507389
14,1,MIDDLE-T,7.0,0.0,1,0.0049261083743842365
15,1,MIDDLE-T,8.0,180.0,7,0.034482758620689655
16,1,MIDDLE-T,8.0,315.0,1,0.0049261083743842365
17,1,MIDDLE-T,9.0,180.0,6,0.029556650246305417
18,1,MIDDLE-T,11.0,45.0,1,0.0049261083743842365
19,1,MIDDLE-T,12.0,135.0,1,0.0049261083743842365
20,1,MIDDLE-T,23.0,45.0,1,0.0049261083743842365
21,1,PARALL,2.0,45.0,1,0.0049261083743842365
22,1,PARALL,2.0,90.0,1,0.0049261083743842365
23,1,PARALL,3.0,45.0,1,0.0049261083743842365
24,1,PARALL,3.0,135.0,3,0.014778325123152709
25,1,PARALL,4.0,45.0,4,0.019704433497536946
26,1,PARALL,6.0,135.0,4,0.019704433497536946
27,1,PARALL,8.0,0.0,1,0.0049261083743842365
28,1,PARALL,8.0,45.0,1,0.0049261083743842365
29,1,PARALL,8.0,135.0,2,0.009852216748768473
30,1,PARALL,9.0,45.0,3,0.014778325123152709
31,1,PARALL,12.0,45.0,1,0.0049261083743842365
32,1,PARALL,12.0,135.0,1,0.0049261083743842365
33,1,PARALL,14.0,135.0,1,0.0049261083743842365
34,1,PARALL,16.0,90.0,1,0.0049261083743842365
35,1,PARALL,17.0,90.0,1,0.0049261083743842365
36,1,PARALL,18.0,0.0,1,0.0049261083743842365
37,1,PARALL,19.0,45.0,1,0.0049261083743842365
38,1,PARALL,20.0,135.0,1,0.0049261083743842365
39,1,PARALL,25.0,90.0,1,0.0049261083743842365
40,1,SMALL-T,1.0,225.0,1,0.0049261083743842365
41,1,SMALL-T,3.0,315.0,2,0.009852216748768473
42,1,SMALL-T,4.0,315.0,5,0.024630541871921183
43,1,SMALL-T,5.0,45.0,10,0.04926108374384237
44,1,SMALL-T,6.0,45.0,3,0.014778325123152709
45,1,SMALL-T,7.0,315.0,1,0.0049261083743842365
46,1,SMALL-T,8.0,315.0,1,0.0049261083743842365
47,1,SMALL-T,9.0,315.0,3,0.014778325123152709
48,1,SMALL-T,11.0,45.0,7,0.034482758620689655
49,1,SMALL-T,11.0,315.0,2,0.009852216748768473
50,1,SMALL-T,12.0,45.0,5,0.024630541871921183
51,1,SMALL-T,12.0,315.0,4,0.019704433497536946
52,1,SMALL-T,14.0,45.0,2,0.009852216748768473
53,1,SMALL-T,17.0,0.0,1,0.0049261083743842365
54,1,SMALL-T,19.0,45.0,1,0.0049261083743842365
55,1,SMALL-T,19.0,135.0,2,0.009852216748768473
56,1,SMALL-T,22.0,0.0,2,0.009852216748768473
57,1,SMALL-T,24.0,135.0,1,0.0049261083743842365
58,1,SMALL-T,24.0,225.0,1,0.0049261083743842365
59,1,SQUARE,1.0,0.0,2,0.009852216748768473
60,1,SQUARE,2.0,0.0,1,0.0049261083743842365
61,1,SQUARE,3.0,0.0,4,0.019704433497536946
62,1,SQUARE,4.0,0.0,1,0.0049261083743842365
63,1,SQUARE,8.0,0.0,3,0.014778325123152709
64,1,SQUARE,11.0,0.0,7,0.034482758620689655
65,1,SQUARE,11.0,45.0,1,0.0049261083743842365
66,1,SQUARE,12.0,0.0,7,0.034482758620689655
67,1,SQUARE,14.0,45.0,1,0.0049261083743842365
68,1,SQUARE,19.0,0.0,1,0.0049261083743842365
69,1,SQUARE,22.0,45.0,1,0.0049261083743842365
70,2,BIG-T,2.0,0.0,16,0.07373271889400922
71,2,BIG-T,12.0,180.0,15,0.06912442396313365
72,2,BIG-T,13.0,0.0,30,0.1382488479262673
73,2,BIG-T,13.0,270.0,1,0.004608294930875576
74,2,MIDDLE-T,6.0,225.0,13,0.059907834101382486
75,2,MIDDLE-T,6.0,315.0,6,0.027649769585253458
76,2,MIDDLE-T,8.0,45.0,7,0.03225806451612903
77,2,MIDDLE-T,8.0,135.0,4,0.018433179723502304
78,2,MIDDLE-T,19.0,225.0,1,0.004608294930875576
79,2,PARALL,11.0,45.0,29,0.1336405529953917
80,2,PARALL,11.0,90.0,1,0.004608294930875576
81,2,PARALL,16.0,0.0,1,0.004608294930875576
82,2,SMALL-T,1.0,0.0,3,0.013824884792626729
83,2,SMALL-T,3.0,0.0,10,0.04608294930875576
84,2,SMALL-T,4.0,135.0,1,0.004608294930875576
85,2,SMALL-T,5.0,90.0,10,0.04608294930875576
86,2,SMALL-T,9.0,225.0,1,0.004608294930875576
87,2,SMALL-T,9.0,270.0,16,0.07373271889400922
88,2,SMALL-T,10.0,135.0,2,0.009216589861751152
89,2,SMALL-T,11.0,180.0,7,0.03225806451612903
90,2,SMALL-T,12.0,315.0,1,0.004608294930875576
91,2,SMALL-T,13.0,180.0,7,0.03225806451612903
92,2,SMALL-T,19.0,135.0,1,0.004608294930875576
93,2,SMALL-T,22.0,135.0,2,0.009216589861751152
94,2,SMALL-T,22.0,315.0,1,0.004608294930875576
95,2,SQUARE,17.0,0.0,3,0.013824884792626729
96,2,SQUARE,22.0,0.0,27,0.12442396313364056
97,2,SQUARE,24.0,0.0,1,0.004608294930875576
98,3,BIG-T,8.0,0.0,15,0.07177033492822966
99,3,BIG-T,11.0,135.0,20,0.09569377990430622
100,3,BIG-T,13.0,225.0,3,0.014354066985645933
101,3,BIG-T,15.0,135.0,2,0.009569377990430622
102,3,BIG-T,17.0,90.0,13,0.06220095693779904
103,3,BIG-T,18.0,225.0,7,0.03349282296650718
104,3,BIG-T,23.0,225.0,2,0.009569377990430622
105,3,MIDDLE-T,6.0,180.0,18,0.0861244019138756
106,3,MIDDLE-T,7.0,180.0,5,0.023923444976076555
